,Price,ram_in_gb,ddr_version,gen_type,size_in_inches,SSD,HDD,processor_name_name_encoded,OS_name_encoded,disk_drive_name_encoded,touchscreen_name_encoded,company_name_encoded,graphic_card_name_encoded
0,3092180.0,4,4,10,11.6,512,0,1,3,3,0,12,0
1,3456180.0,4,4,10,11.6,512,0,1,3,3,0,12,0
2,7096180.0,8,4,10,15.6,512,0,1,3,3,0,2,0
3,8734180.0,8,4,0,15.6,1000,0,0,3,3,0,2,0
4,7096180.0,8,4,10,14.0,256,0,1,3,3,0,6,0
5,12010180.0,8,4,0,15.6,1000,0,0,3,3,0,2,1
6,14558180.0,8,4,10,13.3,512,0,1,2,3,0,1,0
7,17652180.0,16,5,10,15.6,256,0,1,3,3,0,9,1
8,10736180.0,16,4,10,15.6,256,0,1,3,3,0,2,0
9,6550180.0,8,4,0,14.0,512,0,0,3,3,0,13,0
10,6641180.0,8,4,10,14.0,512,0,1,3,3,0,6,0
11,14376180.0,8,5,0,14.0,512,0,0,3,3,0,9,1
12,7975058.0,8,4,10,15.6,512,0,1,3,3,0,6,0
13,7096180.0,8,4,10,15.6,512,0,1,3,3,0,6,0
14,5822180.0,8,4,0,15.6,512,0,0,3,3,0,8,0
15,14922180.0,16,5,0,15.6,512,0,0,3,3,0,9,1
16,6368180.0,8,4,0,15.6,0,1000,0,3,1,0,9,0
17,6186180.0,8,4,0,14.0,512,0,0,3,3,0,8,0
18,4347980.0,8,4,0,15.6,512,0,0,3,3,0,6,0
19,11828180.0,16,4,0,14.0,512,0,0,3,3,0,6,1
20,10918180.0,16,3,10,15.0,512,0,1,3,3,0,9,1
21,8003450.0,8,4,10,15.6,512,0,1,3,3,0,8,0
22,6004180.0,8,4,10,15.6,256,0,1,3,3,0,6,0
23,7279818.0,8,4,0,15.6,256,0,1,3,3,0,8,0
24,6186180.0,8,4,10,15.6,256,0,1,3,3,0,8,0
25,4366180.0,8,4,0,15.6,512,0,0,3,3,0,7,0
26,4911998.0,8,4,10,15.6,512,0,1,3,3,0,8,0
27,3092180.0,4,4,10,15.6,512,0,1,3,3,0,12,0
28,9098180.0,8,4,10,11.6,512,0,1,3,3,0,8,1
29,8157058.0,8,4,10,15.5,512,0,1,3,3,0,6,0
30,8916180.0,16,4,10,14.0,512,0,1,3,3,0,9,0
31,10008180.0,8,4,10,14.0,512,0,1,3,3,0,6,0
32,11100180.0,8,4,10,15.6,512,0,1,3,3,0,2,1
33,7096180.0,8,4,0,15.6,256,1000,1,3,0,0,6,0
34,7824180.0,16,4,0,15.6,256,0,0,3,3,0,2,0
35,9553180.0,8,4,10,15.6,512,0,1,3,3,0,6,0
36,11464180.0,16,4,0,15.6,512,0,0,3,3,0,9,1
37,4366180.0,4,4,10,15.6,512,0,1,3,3,0,2,0
38,9644180.0,8,4,10,14.0,512,0,1,3,3,0,6,0
39,3456180.0,4,4,10,14.0,512,0,1,3,3,0,12,0
40,12157600.0,16,4,0,11.6,512,0,0,3,3,0,6,0
41,9098180.0,16,4,10,14.0,512,0,1,3,3,0,6,0
42,13648180.0,16,4,10,15.6,512,0,1,3,3,0,2,0
43,10918180.0,16,4,10,14.0,512,0,1,3,3,0,6,0
44,7460180.0,8,4,10,14.0,512,0,1,3,3,0,6,0
45,7278180.0,8,5,0,15.6,512,0,0,3,3,0,2,0
46,7096180.0,8,4,0,15.6,512,0,0,3,3,0,4,0
47,7279818.0,8,4,0,0.0,512,0,0,3,3,0,8,0
48,10008180.0,16,4,0,15.6,512,0,0,3,3,0,13,0
49,10372180.0,8,4,10,14.0,512,0,1,3,3,0,2,0
50,13466180.0,16,4,10,14.0,512,0,1,3,3,0,2,0
51,3092180.0,4,4,10,15.6,512,0,1,3,3,0,12,0
52,11828180.0,16,4,10,11.6,512,0,1,3,3,0,6,1
53,10554180.0,16,4,10,15.0,256,0,1,3,3,0,6,0
54,8916180.0,16,4,0,14.0,512,0,0,3,3,0,6,0
55,10008180.0,8,4,10,14.0,512,0,1,3,3,0,6,0
56,7278180.0,8,4,10,15.6,1000,0,1,3,3,0,6,0
57,22748180.0,16,5,10,15.6,256,0,1,3,3,0,0,1
58,6186180.0,8,4,0,16.0,512,0,0,3,3,0,8,0
59,9553180.0,8,4,10,14.0,512,0,1,3,3,0,6,0
60,16014180.0,16,4,10,15.6,512,0,1,3,3,0,2,0
61,25478180.0,16,5,10,15.6,2000,0,1,3,3,0,9,1
62,14558180.0,8,4,0,17.3,512,0,0,2,3,0,1,0
63,10918180.0,16,4,10,13.3,512,0,1,3,3,0,6,0
64,6550180.0,8,4,10,14.0,512,0,1,3,3,0,6,0
65,10918180.0,16,4,0,15.6,256,0,0,3,3,0,2,1
66,89178180.0,2,3,10,15.6,512,0,1,3,3,0,9,1
67,3456180.0,4,4,10,17.3,512,0,1,3,3,0,12,0
68,9644180.0,8,4,0,11.6,512,0,0,3,3,0,9,1
69,9826180.0,16,4,0,15.6,512,0,0,3,3,0,9,1
70,8370180.0,16,4,0,15.6,512,0,0,3,3,0,9,0
71,6186180.0,8,4,10,14.0,512,0,1,3,3,0,8,0
72,7278180.0,8,4,0,15.0,1000,0,0,3,3,0,7,0
73,11646180.0,16,4,10,15.6,256,0,1,3,3,0,2,0
74,12374180.0,16,4,10,15.6,512,0,1,3,3,0,6,0
75,3092180.0,4,4,10,15.6,512,0,1,3,3,0,12,0
76,10372180.0,8,4,10,11.6,512,0,1,3,3,0,2,0
77,10373818.0,16,4,0,14.0,1000,0,0,3,3,0,6,0
78,5640180.0,8,4,5,14.0,512,0,0,3,3,0,6,0
79,3456180.0,4,4,10,15.6,256,1000,1,3,0,0,12,0
80,15468180.0,16,5,10,11.6,512,0,1,3,3,0,2,1
81,4366180.0,8,4,10,15.6,1000,0,1,3,3,0,7,0
82,7278180.0,8,4,0,15.6,512,0,0,3,3,0,6,0
83,10008180.0,8,4,10,15.6,1000,0,1,3,3,0,6,0
84,7824180.0,8,4,10,15.6,512,0,1,3,3,0,9,0
85,58693180.0,32,3,0,14.0,512,0,0,2,3,0,1,0
